PosScore,NegScore,SynsetTermsSplitted,বঙ্গানুবাদ
0.0,0.0,fidgetiness,অধীরতা
0.0,0.0,dinosaur,অধুনালুপ্ত সরীসৃপবিশেষ
0.25,0.0,impatiently,অধৈর্য হয়ে
0.0,0.0,aggravation,অধোগমন
0.0,0.0,curator,অধ্যক্ষ
0.25,0.0,diligence,অধ্যবসায়
0.0,0.0,advisor,অধ্যাপক
0.0,0.0,chapter,অধ্যায়
0.0,0.0,chapterhouse,অধ্যায় ঘর
0.0,0.0,ascription,অধ্যাস
0.0,0.0,colonised,অধ্যুষিত
0.0,0.0,backward,অনগ্রসর
0.0,0.0,bodiless,অনঙ্গ
0.125,0.0,gouache,অনচ্ছ জলরঙের মিশ্রণ
0.0,0.0,bareness,অনটন
0.25,0.0,irrevocable,অনড়
0.0,0.25,immovably,অনড় হয়ে
0.125,0.0,insuperable,অনতিক্রম্য
0.0,0.5,interloper,অনধিকার প্রবেশকারী ব্যক্তি
0.375,0.0,busybody,অনধিকারচর্চাকারী
0.0,0.5,intrusion,অনধিকারপ্রবেশ
0.0,0.25,gate-crash,অনধিকারপ্রবেশ করা
0.0,0.0,encroaching,অনধিকারপ্রবেশকারী
0.125,0.5,intrusive,অনধিকারপ্রবেশমূলক
0.0,0.0,crossbred,অনধিকারলব্ধ
0.0,0.0,ananias,অননিয়
0.0,0.0,dissenter,অননুগামী ব্যক্তি
0.5,0.375,impenitently,অননুতপ্তভাবে
0.5,0.375,impenitent,অননুতাপী
0.0,0.0,impalpability,অননুভবনীয়তা
0.25,0.0,disaccord,অননুমোদন
0.0,0.0,hoity-toity,অননুমোদননূচক
0.375,0.0,dateless,অনন্ত
0.0,0.0,eternal_life,অনন্ত জীবন
0.125,0.0,eternity,অনন্তকাল
0.25,0.5,inconsequent,অনন্বিত
0.125,0.0,advertent,অনন্যচিত্তে
0.0,0.0,charisma,অনন্যসাধারণ প্রতিভা
0.0,0.375,innoxious,অনপকারী
0.0,0.5,indelible,অনপনেয়
0.25,0.0,indelibly,অনপনেয়রূপে
0.0,0.5,irremovable,অনপসারণীয়
0.0,0.625,impeccable,অনবদ্য
0.0,0.0,blamelessness,অনবদ্য়তা
0.0,0.0,chance-medley,অনবধানতা
0.125,0.0,illimitable,অনবধি
0.375,0.125,inexperienced,অনভিজ্ঞ
0.0,0.0,fledgeling,অনভিজ্ঞ লোক
0.375,0.125,inexperience,অনভিজ্ঞতা
0.0,0.5,disapproving,অনভিলাষী
0.125,0.25,inflexible,অনমনীয়
0.0,0.0,adamantly,অনমনীয়রূপে
0.0,0.0,fluent,অনর্গল
0.0,0.0,blabber,অনর্থক কথা বলা
0.375,0.0,energetic,অনলস
0.0,0.0,hunger_strike,অনশন - ধর্মঘট
0.0,0.25,indestructibility,অনশ্বরতা
0.0,0.0,circumpolar,অনস্তগ
0.0,0.25,indisputable,অনস্বীকার্য
0.125,0.625,incurious,অনাকর্ষণীয়
0.0,0.0,immune,অনাক্রম্য
0.0,0.0,immunise,অনাক্রম্য করা
0.0,0.0,immunogenicity,অনাক্রম্যতা
0.0,0.0,anaxagoras,অনাক্সাগোরাস
0.0,0.0,anomie,অনাচার
0.0,0.0,chaise,অনাচ্ছাদিত হালকা গাড়ী
0.0,0.0,informally,অনাড়ম্বরভাবে
0.0,0.0,disaffection,অনাত্মীয়
0.0,0.0,hospice,অনাথশালা
0.0,0.0,irrecoverable,অনাদায়যোগ্য
0.0,0.0,antiquity,অনাদিকাল
0.0,0.0,conjointly,অনাবাসী
0.0,0.0,debunk,অনাবৃত করা
0.125,0.75,easiness,অনায়াস
0.125,0.125,effortlessly,অনায়াসে
0.5,0.125,honoring,অনারিং
0.25,0.625,incurability,অনারোগ্য
0.5,0.375,disrespectful,অনার্য
0.0,0.625,ductless,অনাল
0.0,0.0,dissociable,অনালাপী
0.0,0.0,insouciant,অনাসক্ত
0.0,0.0,insouciance,অনাসক্তি
0.0,0.25,famish,অনাহারে থাকা
0.25,0.625,disinclination,অনিচ্ছা
0.0,0.0,involuntarily,অনিচ্ছাজনিত
0.125,0.0,indifferently,অনিচ্ছাপূর্বক
0.0,0.0,hang_back,অনিচ্ছাপ্রদর্শন করা
0.125,0.0,disinterestedly,অনিচ্ছায়
0.0,0.0,impermanence,অনিত্য়তা
0.0,0.75,insomnia,অনিদ্রা
0.0,0.75,insomniac,অনিদ্রারোগসংক্রান্ত
0.625,0.0,good-tempered,অনিনি্দতচরিত্র
0.0,0.375,immaculate,অনিন্দ্য
0.0,0.625,inevitable,অনিবার্য
0.375,0.25,changeful,অনিয়ত
0.0,0.25,disorderliness,অনিয়ম
0.0,0.0,episodic,অনিয়মিত
0.0,0.0,episodic_memory,অনিয়মিত মেমরি
0.0,0.125,insecurity,অনিরাপত্তা
0.25,0.0,indeterminate,অনির্ণীত
0.125,0.625,indeterminable,অনির্ণেয়
0.25,0.0,indeterminacy,অনির্ণেয়তা
0.25,0.5,indefinite,অনির্দিষ্ট
0.375,0.625,counterintuitive,অনির্দিষ্ট অথবা
0.0,0.0,indefinite_integral,অনির্দিষ্ট অবিচ্ছেদ্য
0.0,0.0,indefinite_article,অনির্দিষ্ট নিবন্ধ
0.375,0.5,imprecision,অনির্দিষ্টতা
0.125,0.125,ineffable,অনির্বচনীয়
0.0,0.875,inextinguishable,অনির্বাণ
0.0,0.25,dicey,অনির্ভরযোগ্য
0.125,0.0,doubtfulness,অনিশ্চয়
0.0,0.0,incertitude,অনিশ্চয়তা
0.0,0.0,guessing_game,অনিশ্চয়তার খেলা
0.125,0.0,doubtfully,অনিশ্চিতভাবে
0.0,0.0,bale,অনিষ্ট
0.0,0.0,commiseration,অনুকংপা
0.25,0.0,emulation,অনুকরণ
0.0,0.0,emulate,অনুকরণ করা
0.0,0.375,imitator,অনুকারক
0.125,0.5,imitative,অনুকারী
0.0,0.0,favorable,অনুকূল
0.0,0.0,adherent,অনুগত
0.0,0.75,conformist,অনুগামী ব্যক্তি
0.0,0.0,followers,অনুগামীদের
0.5,0.0,grace,অনুগ্রহ
0.125,0.0,ingratiate,অনুগ্রহ ভাজন করান
0.875,0.0,benignantly,অনুগ্রহপূর্বক
0.0,0.0,catalyst,অনুঘটক
0.0,0.0,catalyse,অনুঘটকের
0.0,0.0,catalytic_converter,অনুঘটকের রূপান্তরকারী
0.0,0.0,catalysis,অনুঘটন
0.0,0.0,cortege,অনুচরবর্গ
0.0,0.625,afterthought,অনুচিন্তা
0.0,0.0,clausal,অনুচ্ছেদ সম্পর্কিত
0.0,0.0,fibula,অনুজজ্ঘাসি্থ
0.0,0.125,injunction,অনুজ্ঞা
0.25,0.25,imperative,অনুজ্ঞাসূচক
0.25,0.25,imperative_form,অনুজ্ঞাসূচক ফর্ম
0.0,0.125,contrite,অনুতপ্ত
0.0,0.125,contritely,অনুতপ্তভাবে
0.375,0.625,contrition,অনুতাপ
0.25,0.0,impenitence,অনুতাপশূন্যতা
0.0,0.0,coccygeal,অনুত্রিকাস্থি
0.75,0.125,importunately,অনুনয়-বিনয় করে
0.0,0.0,afterpiece,অনুনাটিকা
0.0,0.0,echoing,অনুনাদী
0.0,0.0,cleistogamy,অনুন্মীলন
0.0,0.0,cleistogamous,অনুন্মীলিত
0.125,0.5,ineradicable,অনুন্মুলনীয়
0.0,0.5,incomparable,অনুপম
0.125,0.75,inappropriate,অনুপযুক্ত
0.0,0.75,ineptitude,অনুপযুক্ততা
0.125,0.75,inappropriateness,অনুপযোগিতা
0.125,0.625,absent,অনুপস্থিত
0.0,0.625,absentee,অনুপস্থিত ব্যক্তি
0.125,0.125,absence,অনুপস্থিতি
0.0,0.0,in_absentia,অনুপস্থিতিতে
0.0,0.25,disproportionate,অনুপাতহীন
0.125,0.0,helplessness,অনুপায়
0.0,0.5,expletive,অনুপূরক
0.0,0.0,infiltration,অনুপ্রবেশ
0.0,0.0,infiltrator,অনুপ্রবেশকারী
0.0,0.0,impulsion,অনুপ্রাণন
0.875,0.0,inspired,অনুপ্রাণিত
0.0,0.0,impel,অনুপ্রাণিত করা
0.0,0.0,alliteration,অনুপ্রাস
0.0,0.0,alliterate,অনুপ্রাস সৃষ্টি করা
0.0,0.0,alliterative,অনুপ্রাসধর্মী
0.0,0.0,encouragement,অনুপ্রেরণা
0.625,0.0,inspirational,অনুপ্রেরণীয়
0.0,0.0,follow-up,অনুপ্রেরিত
0.0,0.0,correlation,অনুবন্ধ
0.0,0.125,conjugate,অনুবন্ধী
0.5,0.0,compliant,অনুবর্তী
0.625,0.0,acquiesce,অনুবর্তী হত্তয়া
0.0,0.0,dint,অনুবল
0.0,0.0,interpreter,অনুবাদক
0.0,0.0,intimation,অনুবেদন
0.875,0.0,feel_out,অনুভব কর
0.0,0.0,grope,অনুভব করা
0.125,0.0,feel_like,অনুভূত
0.0,0.0,felt_up,অনুভূত করা
0.125,0.125,feeling,অনুভূতি
