PosScore,NegScore,SynsetTermsSplitted,বঙ্গানুবাদ
0,0,idler pulley,অকর্মা কপিকল
0,0,poke check,অকর্মা চেক
0,0,poke bonnet,অকর্মা শিরাবরণ
0,0,uncultivated,অকর্ষিত
0.375,0.375,unspotted,অকলঙ্ক
0.5,0.5,unpolluted,অকলঙ্কিত
0.125,0.25,uncorrupted,অকলুষিত
0,0.125,anecdotal,অকল্পনীয়
0,0.625,unpropitious,অকল্যাণকর
0,0,auckland,অকল্যান্ড
0,0,plop,অকস্মাৎ
0,0,blaze up,অকস্মাৎ জ্বলিয়া ত্তঠা
0,0,muck about,অকাজ করা
0.125,0,cogent,অকাট্য
0.125,0,cogent evidence,অকাট্য প্রমাণ
0.375,0.375,home truth,অকাট্য সত্য
0.125,0,cogency,অকাট্যতা
0.375,0.375,ungrudging,অকাতর
0,0.5,undesirable,অকাম্য
0,0.25,unbodied,অকায়
0.375,0,unaccountable,অকারণ
0.25,0,aimlessly,অকারণে
0.5,0.125,bungle,অকার্য
0,0.625,impractical,অকার্যকর
0,0,invalidated,অকার্যকর ও বাতিল
0,0,premature,অকাল
0.25,0,premature ejaculation,অকাল উল্লাসধ্বনি
0.25,0,premature labor,অকাল শ্রম
0,0.125,stupid person,অকালকুষ্মাণ্ড
0.25,0,pert,অকালপক্ক
0,0,virilism,অকালপৌরুষ-লক্ষণ
0,0,drop dead,অকালমৃত্যু
0,0.625,unseasonable,অকালীন
0,0.625,inopportunely,অকালে
0.625,0,humdrum,অকাল্পনিক
0,0,threepenny,অকিঞ্চিৎকর
0,0,agate,অকীক
0,0.625,unshrinkable,অকুঞ্চনযোগ্য
0.125,0.125,unstinted,অকুণ্ঠ
0.25,0,liberally,অকুণ্ঠচিত্তে
0.5,0,undaunted,অকুতোভয়
0,0,dreadnought,অকুতোভয় ব্যক্তি
0,0.75,occupational therapy,অকুপেশনাল থেরাপি
0,0.5,lowly,অকুল
0,0,hybrid,অকুলীন
0,0.25,indisposition,অকুশল
0,0,spot,অকুস্থল
0,0.25,dire straits,অকূল পাথার
0,0.75,intestate,অকৃত উইলকারী
0.5,0.375,ill-starred,অকৃতকার্য
0.25,0,ingrate,অকৃতজ্ঞ
0.125,0.5,thankless wretch,অকৃতজ্ঞ নরাধম
0,0,ingratitude,অকৃতজ্ঞতা
0.375,0.5,not guilty,অকৃতাপরাধ
0.364,0.636,genuine,অকৃত্রিম
0.25,0.375,genuineness,অকৃত্রিমতা
0,0.625,untilled,অকৃষ্ট
0,0.5,inutile,অকেজো
0,0.25,wastrel,অকেজো বস্তু
0,0,agonic line,অকোণিক রেখা
0,0,auxiliary operation,অক্জিলিয়ারী অপারেশন
0,0,auxiliary engine,অক্জিলিয়ারী ইঞ্জিন
0,0,auxiliary research submarine,অক্জিলিয়ারী গবেষণা সাবমেরিন
0,0,auxiliary pump,অক্জিলিয়ারী পাম্প
0,0,auxiliary boiler,অক্জিলিয়ারী বয়লার
0,0,auxiliary equipment,অক্জিলিয়ারী সরঞ্জাম
0,0,auxiliary cell,অক্জিলিয়ারী সেল
0,0,auxiliary storage,অক্জিলিয়ারী স্টোরেজ
0,0,octavo,অক্টেভো
0,0,octopus,অক্টোপাস
0,0,oct,অক্টোবর
0,0,october revolution,অক্টোবর বিপ্লব
0,0,mid-october,অক্টোবরের মাঝামাঝি সময়ে
0,0.125,inoperative,অক্রিয়
0.5,0,passively,অক্রিয়ভাবে
0.625,0,strenuously,অক্লান্তভাবে
0,0.625,untired,অক্লিষ্ট
0,0,axis,অক্ষ
0,0,coordinate axis,অক্ষ তুল্য
0,0,axis vertebra,অক্ষ পর্শুকা
0,0,axle bar,অক্ষ বার
0,0,intact,অক্ষত
0,0.5,disable,অক্ষম
0,0,disability,অক্ষমতা
0,0,disability check,অক্ষমতা চেক
0,0.5,disability payment,অক্ষমতা পেমেন্ট
0,0,disability insurance,অক্ষমতা বীমা
0,0.375,intolerance,অক্ষমা
0.25,0.75,incorruptible,অক্ষয়
0.25,0.75,incorruptibility,অক্ষয়তা
0.25,0.75,incorruption,অক্ষয়তার
0,0,lettering,অক্ষর
0,0,letters testamentary,অক্ষর উইল সংক্রান্ত
0,0,letters patent,অক্ষর পেটেন্ট
0,0.25,apostrophe,অক্ষর বাদ দেত্তয়ার চিহ্ন
0,0,character set,অক্ষর সেট
0,0,lettered,অক্ষরবিশিষ্ট
0,0.25,rigorously,অক্ষরে অক্ষরে
0,0,letterpress,অক্ষরের ছাপা
0,0.5,letter security,অক্ষরের নিরাপত্তা
0,0,latitude,অক্ষাংশ
0,0,ophthalmic artery,অক্ষি ধমনী
0,0,ophthalmic vein,অক্ষি শিরা
0.125,0,eye socket,অক্ষিকোটর
0.125,0,eyeball,অক্ষিগোলক
0,0,orb web,অক্ষিগোলক ওয়েব
0,0.375,orb-weaving,অক্ষিগোলক-বয়ন
0,0,cilium,অক্ষিপক্ষ্ম
0,0,retina,অক্ষিপট
0,0,macula lutea,অক্ষিপটের সবচেয়ে দৃষ্টি-সংবেদী অংশটি
0.125,0,squinting,অক্ষিবিকূর্ণন
0,0,aqueous humor,অক্ষিস্নেহ
0,0,axial,অক্ষীয়
0,0,axial skeleton,অক্ষীয় কঙ্কাল
0,0,axial motion,অক্ষীয় গতি
0,0,axial rotation,অক্ষীয় ঘূর্ণন
0,0,axial muscle,অক্ষীয় পেশী
0,0.625,unhampered,অক্ষুণ্ণ
0,0.75,unagitated,অক্ষুব্ধ
0,0,oxtail,অক্সটেইল
0.125,0,oxtail soup,অক্সটেইল স্যুপ
0,0,oxbow lake,অক্সবো হ্রদ
0.125,0,oxbridge,অক্সব্রীজ
0,0,oxide,অক্সাইড
0,0,oxalic acid,অক্সালিক অ্যাসিড
0,0,oxygen,অক্সিজেন
0,0.125,oxygen acid,অক্সিজেন অ্যাসিড
0,0,oxygen debt,অক্সিজেন ঋণ
0,0,oxyacetylene,অক্সিজেন ও অ্যাসেটিলিন গ্যাসের মিশ্রণ
0,0,oxyacetylene torch,অক্সিজেন ও অ্যাসেটিলিন গ্যাসের মিশ্রণ মশাল
0,0.5,obligate anaerobe,অক্সিজেন না পাইয়াত্ত বাঁচিতে বাধ্য
0,0,oxygen mask,অক্সিজেন মুখোশ
0,0,oxygenate,অক্সিজেন সরবরাহ করা
0,0,oxygenase,অক্সিজেনাসে
0,0,oxygenation,অক্সিজেনের
0,0.75,anoxia,অক্সিজেনের অভাব
0,0,occitan,অক্সিটান
0,0,oxidative,অক্সিডেটিভ
0,0,oxidant,অক্সিডেন্ট
0,0,oxidase,অক্সিডেস
0,0,oxidation,অক্সিডেসন
0,0,oxidation number,অক্সিডেসন সংখ্যা
0,0,oxonian,অক্স্ফর্ড বিশ্ববিদ্যালয়ের
0,0,curdled,অখণ্ড
0.875,0.125,integrity,অখণ্ডতা
0.125,0.125,inedible,অখাদ্য
0.375,0.125,disoblige,অখুশি করা
0.375,0.125,unsporting,অখেলোয়াড়সুলভ
0.375,0.375,unsportsmanlike,অখেলোয়াড়ী
0.125,0.25,discredit,অখ্যাতি
0,0.125,paynim,অখ্রিস্টীয় ব্যক্তি
0,0.5,unmade,অগঠিত
0,0.625,undemocratic,অগণতান্ত্রিক
0,0,countless,অগণিত
0,0.625,incomputable,অগণ্য
0.125,0,necessarily,অগত্যা
0,0.125,shallow,অগভীর
0,0,externality,অগভীরতা
0.375,0.5,impregnability,অগম্যতা
0,0,adulterer,অগম্যাগামী
0,0,august,অগাস্ট
0,0,auguste rodin,অগাস্ট রবিন্স
0,0,augustus,অগাস্টাস
0,0,augustinian,অগাস্টিনিয়ান
0,0,augustinian canons,অগাস্টিনিয়ান অনুশাসন অনুসারে
0,0,augustinian order,অগাস্টিনিয়ান অর্ডার
0,0.75,unsung,অগীত
0.125,0.375,unconcealed,অগুপ্ত
0,0.5,carelessly,অগোছালভাবে
0.25,0.375,disorderly,অগোছালো
0.25,0.375,disorderly behavior,অগোছালো আচরণ
0.25,0.375,disorderly conduct,অগোছালো আচরণের
0,0.125,slovenly woman,অগোছালোভাবে নারী
0,0.125,slovenly person,অগোছালোভাবে ব্যক্তি
0,0,agni,অগ্নি
0,0,pyrolatry,অগ্নি-উপাসনা
0,0,crucible steel,অগ্নিপরীক্ষা ইস্পাত
0,0,ordeal tree,অগ্নিপরীক্ষা গাছ
0,0.125,trial by ordeal,অগ্নিপরীক্ষা দ্বারা বিচারের
0,0,ordeal bean,অগ্নিপরীক্ষা শিম
0,0,basalt,অগ্নিয়গিরিজাত শিলা
0,0,basaltic,অগ্নিয়গিরিজাত শিলাসংক্রান্ত
0,0,empyrean,অগ্নিলোক
0,0,arson,অগ্নিসংযোগ
0,0,pancreas,অগ্ন্যাশয়
0,0,glucagon,অগ্ন্যাশয় থেকে নিঃসৃত এক ধরনের রস
0,0,pancreatic juice,অগ্ন্যাশয় রস
0,0,pancreatic,অগ্ন্যাশয়ের
0,0,pancreatic cancer,অগ্ন্যাশয়ের ক্যান্সার
0,0,pancreatic artery,অগ্ন্যাশয়ের ধমনী
0,0,pancreatic duct,অগ্ন্যাশয়ের নালী
0,0,pancreatic vein,অগ্ন্যাশয়ের শিরা
0,0,eruption,অগ্ন্যুত্পাত
0,0,anterior,অগ্র
0,0,anterior cardinal vein,অগ্র অঙ্কবাচক শিরা
0,0,anterior labial veins,অগ্র ওষ্ঠ্য শিরা
0,0,anterior jugular vein,অগ্র গ্রীবাস্থিত ধমনী
0,0,anterior pituitary,অগ্র পিটুইটারি
0,0,anterior pituitary gland,অগ্র পিটুইটারি গ্রন্থি
0,0,anterior vertebral vein,অগ্র মেরুদন্ডের শিরা
0,0,anterior root,অগ্র রুট
0,0,anterior horn,অগ্র শিঙা
0,0,anterior temporal artery,অগ্র সময়গত ধমনী
0,0,anterior cerebral artery,অগ্র সেরিব্রাল ধমনী
0,0,anterior cerebral vein,অগ্র সেরিব্রাল শিরা
0,0,pre-emption,অগ্রক্রয়াধিকার
0,0,pre-empt,অগ্রক্রয়াধিকারবলে কেনা বা পাওয়া
0,0,pre-emptive,অগ্রক্রয়াধিকার-সংক্রান্ত
0,0.5,anteriority,অগ্রগণ্যতা
0,0.25,advancement,অগ্রগতি
0,0,progress report,অগ্রগতি প্রতিবেদন
0,0,staged,অগ্রগমনশীল
0.5,0,subserve,অগ্রগমনে বা উন্নতিসাধনে সাহার্য
0,0,onward,অগ্রগামী
0,0,elder,অগ্রজ
0.125,0,elder statesman,অগ্রজ রাষ্ট্রনায়ক
0,0,strauss the elder,অগ্রজ স্ট্রস
0,0,elder hand,অগ্রজ হাত
0,0,anticipation,অগ্রজ্ঞান
0,0,imprimatur,অগ্রদত্ত টাকা
0.125,0,comprehensively,অগ্রপশ্চাৎ
0,0,nozzle,অগ্রভাগ
0,0,truncate,অগ্রভাগ ছাঁটিয়া দেত্তয়া
0,0,truncated,অগ্রভাগহীন
0,0.25,advanced,অগ্রসর
0,0,apical,অগ্রস্থিত
0,0,apical placentation,অগ্রস্থিত অমরাবিন্যাস
0,0.75,unacceptable,অগ্রহণীয়
0.125,0.75,inadmissibility,অগ্রহণীয়তা
0,0,prioritise,অগ্রাধিকার
0,0,priority processing,অগ্রাধিকার প্রক্রিয়াকরণ
0.125,0.375,give a hoot,অগ্রাহৃ
0,0.75,inadmissible,অগ্রাহ্য
0,0.875,disapprove,অগ্রাহ্য করা
0,0,earnest money,অগ্রিক
0,0,in advance,অগ্রিম
0,0,cash advance,অগ্রিম পরিশোধ
0,0,onwards,অগ্রে
0,0,voiceless,অঘোষ
0,0.5,voiceless consonant,অঘোষ ব্যঁজনবর্ণ
0,0.75,undeclared,অঘোষিত
0,0,tacitly,অঘোষিতভাবে
0.625,0,untasted,অঘ্র্রাত
0,0,digit,অঙ্ক
0,0,drawing,অঙ্কন
0,0,drawing paper,অঙ্কন কাগজ
0,0,drawing card,অঙ্কন কার্ড
0,0,drawing ink,অঙ্কন কালি
0,0,drawing power,অঙ্কন ক্ষমতা
0,0,drawing chalk,অঙ্কন খড়ি
0,0,drawing table,অঙ্কন টেবিল
0,0,drawing pin,অঙ্কন পিন
0,0,drawing board,অঙ্কন বোর্ড
0,0,drawing string,অঙ্কন স্ট্রিং
0,0,cardinal,অঙ্কবাচক
0,0,cardinal compass point,অঙ্কবাচক কম্পাস বিন্দু
0,0,cardinal tetra,অঙ্কবাচক টেট্রা প্যাক
0,0,cardinal newman,অঙ্কবাচক নিউম্যান
0.5,0.5,cardinal virtue,অঙ্কবাচক পুণ্য
0,0,cardinal vein,অঙ্কবাচক শিরা
0,0,cardinal number,অঙ্কবাচক সংখ্যা
0,0,delineated,অঙ্কিত
0,0,imprint,অঙ্কিত করা
0,0,hatching,অঙ্কিত রেখা
0,0,ventral,অঙ্কীয়
0,0,germination,অঙ্কুর
0,0,shoot-down,অঙ্কুর ডাউন
0,0,sprouted,অঙ্কুরিত
0,0,germinate,অঙ্কুরিত করা
0,0,blossoming,অঙ্কুরোদ্গম
0,0,goad,অঙ্কুশ
0,0,organ,অঙ্গ
0,0,organ donor,অঙ্গ দাতা
0.125,0,organ pipe,অঙ্গ পাইপ
0.25,0.125,organ transplant,অঙ্গ প্রতিস্থাপন
0.25,0.125,organ stop,অঙ্গ স্টপ
0,0.125,amputation,অঙ্গচ্ছেদ
0,0,amputate,অঙ্গচ্ছেদ করা
0,0,organ-grinder,অঙ্গ-পেষকদন্ত
0,0.375,pose,অঙ্গবিক্ষেপ
0,0,posing,অঙ্গবিন্যাস
0,0,gesture,অঙ্গভঙ্গি
0,0,masseuse,অঙ্গমর্দিকা
0,0,cosmetology,অঙ্গরাগ
0,0.125,cosmetic surgeon,অঙ্গরাগ সার্জন
0,0.125,cosmetic surgery,অঙ্গরাগ সার্জারি
0.375,0.125,cold cream,অঙ্গরাগবিশেষ
0,0,cosmetologist,অঙ্গরাগী
0,0,lineament,অঙ্গরেখা
0,0,morphological rule,অঙ্গসংস্থান নিয়ম
0,0,morphology,অঙ্গসংস্থানবিদ্যা
0,0,morphologic,অঙ্গসংস্থানসংক্রান্ত
0,0,postural,অঙ্গস্থিতিহীনতা
0,0.125,mutilation,অঙ্গহানি
0,0.5,inseparably,অঙ্গাঙ্গিভাবে
0,0,cinder,অঙ্গার
0,0,cinder block,অঙ্গার ব্লক
0.25,0,cinder pig,অঙ্গার শূকর
0,0,carburetor,অঙ্গারক দ্বারা গ্যাস সৃষ্টি করার যঁত্র
0,0,carburet,অঙ্গারক দ্বারা জ্বালান
0,0,bicarbonate,অঙ্গারজলবণবিশেষ
0,0,carbonaceous,অঙ্গারময়
0,0,carbonic,অঙ্গারসংবন্ধীয়
0,0,carbonate,অঙ্গারাম্লযুক্তদ্রব্য
0.25,0,cinder track,অঙ্গারে আস্তৃত পথ
0,0,carbonize,অঙ্গারে পরিণত করা
0,0.375,carbonization,অঙ্গারে পরিণতি
0,0,pledge,অঙ্গীকার
0,0,pledge taker,অঙ্গীকার সংগ্রাহক
0,0,promissory,অঙ্গীকারপূর্ণ
0.125,0,made-up,অঙ্গীভূত
0,0,ring-shaped,অঙ্গুরীয়কাকার
0,0,toe-to-toe,অঙ্গুলী অঙ্গুলী
0.25,0,thumb,অঙ্গুষ্ঠ
0.25,0,turn thumbs down,অঙ্গুষ্ঠ বন্ধ করো
0,0,thimble,অঙ্গুষ্ঠানা
0,0,thimble-shaped,অঙ্গুষ্ঠানা-আকৃতির
0,0.25,thumbstall,অঙ্গুস্তানা
0,0,thimblerig,অঙ্গুস্তানার মতো তিনটি ক্ষুদ্র পাত্রমধ্যে গুলি লুকাইবার হাতসাফাই
0.375,0,exhibitionism,অঙ্গের অশোভনীয় অনাবৃত অবস্থা
0.5,0.25,unstirred,অচঁচলচিত্ত
0,0,demure,অচপল
0,0.75,immobile,অচল
0,0,deadlock,অচল অবস্থা
0,0,backwater,অচলতা
0,0,deadlocked,অচলাবস্থা
0,0.625,undreamed,অচিন্তিত
0,0,improvisation,অচিন্তিত রচনা
0,0.625,extemporary,অচিন্তিতপূর্ব
0,0.625,undreamt,অচিন্ত্যনীয়
0.125,0,by and by,অচিরে
0,0.5,undistinguished,অচিহ্নিত
0.25,0,paripinnate,অচূড়পক্ষল
0,0.5,insensible,অচেতন
0,0,stun,অচেতন করা
0,0,stun gun,অচেতন বন্দুক
0,0,stun baton,অচেতন লাঠি
0,0.125,unrecognised,অচেনা
0.125,0.5,insentient,অচৈতন্য
0,0,crystalline,অচ্ছ
0,0,crystalline lens,অচ্ছ লেন্স
0,0,indissoluble,অচ্ছেদ্য
0,0,cornea,অচ্ছোদপটল
0,0.5,unshaded,অছায়াবৃত
0,0,depositary,অছি
0,0,trustee account,অছি অ্যাকাউন্ট
0,0,instrumentality,অছিলা
0,0,boa,অজগর
0,0,boa constrictor,অজগর সংকোচকারী
0.625,0,immateriality,অজড়ত্ব
0.375,0.125,unpopularity,অ-জনপ্রিয়তা
0,0,ewe,অজা
0.125,0,incest,অজাচার
0.375,0.375,incestuous,অজাচারী
0,0.125,unborn,অজাত
0,0,callow,অজাতপক্ষ
0,0,beardless,অজাতশ্মশ্রু
0.25,0,surreptitiously,অজানতে
0,0.25,unknown,অজানা
0,0.125,unknown region,অজানা অঞ্চল
0,0,unknown soldier,অজানা সৈনিক
0,0.5,unbeknownst,অজান্তে
0.125,0.375,tongueless,অজিহ্ব
0.5,0,abiogenesis,অজীবজনি
0.125,0.5,undigested,অজীর্ণ
0,0,plea,অজুহাত
0,0,plea bargaining,অজুহাত কারবারী
0,0,plea bargain,অজুহাত চুক্তি
0,0.125,plea-bargain,অজুহাত-চুক্তি
0,0.5,inexpugnable,অজেয়
0,0.125,inorganic,অজৈব
0,0,inorganic phosphate,অজৈব ফসফেট
0,0,inorganic compound,অজৈব যৌগ
0,0,inorganic chemistry,অজৈব রসায়ন
0.5,0,ignorant,অজ্ঞ
0.5,0,ignorance,অজ্ঞতা
0,0,terra incognita,অজ্ঞাত
0.25,0,unknown quantity,অজ্ঞাত রাশি
0,0,y-axis,অজ্ঞাত রাশির দ্বিতীয়টি
0,0.5,unawares,অজ্ঞাতসারে
0.25,0,stealthily,অজ্ঞাতে
0,0.375,unconscious,অজ্ঞান
0,0.375,unconscious process,অজ্ঞান প্রক্রিয়া
0.5,0.5,nescience,অজ্ঞানতা
0,0,agnostic,অজ্ঞানবাদী
0,0,unconsciously,অজ্ঞানে
0,0,agnosticism,অজ্ঞাবাদ
0.125,0,incognizable,অজ্ঞেয়
0.375,0,agnostical,অজ্ঞেয়বাদ
0,0,leathery,অটল
0.375,0.25,steadiness,অটলতা
0.375,0,resolutely,অটলভাবে
0,0,ply,অটলভাবে কাজ করা
0,0.5,autism,অটিজম
0.25,0.5,unimpaired,অটুট
0,0,otto von bismarck,অটো ভন বিসমার্ক
0,0,auto-mechanic,অটো মেকানিক
0,0,auto racing,অটো রেসিং
0,0,autoimmune,অটোইমিউন
0,0,autoimmune diabetes,অটোইমিউন ডায়াবেটিস
0,0,autoimmune disorder,অটোইমিউন ব্যাধি
0,0,autoclave,অটোক্লেভ
0,0,autograph album,অটোগ্রাফ অ্যালবাম
0,0,ottoman turk,অটোমান তুর্কী
0,0,ottoman dynasty,অটোমান রাজবংশ
0,0,ottoman empire,অটোমান সাম্রাজ্য
0,0,automated teller,অটোমেটেড টেলার
0,0,automated teller machine,অটোমেটেড টেলার মেশিন
0,0,atomization,অটোমেশন
0,0,automobile engine,অটোমোবাইল ইঞ্জিন
0,0,automobile loan,অটোমোবাইল ঋণ
0,0,automobile race,অটোমোবাইল জাতি
0,0,automobile tire,অটোমোবাইল টায়রা
0,0,automobile trunk,অটোমোবাইল ট্রাঙ্ক
0,0,automobile driver,অটোমোবাইল ড্রাইভারের
0,0,automobile insurance,অটোমোবাইল বীমা
0,0,automobile battery,অটোমোবাইল ব্যাটারি
0,0,automobile mechanic,অটোমোবাইল মেকানিক
0,0,automobile horn,অটোমোবাইল শিঙা
0,0,automobile industry,অটোমোবাইল শিল্প
0,0,ottawa,অটোয়া
0,0,ottawa river,অটোয়া নদী
0.375,0.125,loud,অট্ট
0,0,loud pedal,অট্ট প্যাডাল
0,0.5,loud-mouthed,অট্ট প্রত্যাশী
0,0,loud hailer,অট্ট বিদ্যুতিন্
0,0,loud-voiced,অট্ট-স্বরিত
0,0,chateau,অট্টালিকা
0,0,pigeon pea,অড়হর
0,0,audio,অডিও
0,0,audio compact disc,অডিও কমপ্যাক্ট ডিস্ক
0,0,audiotape,অডিও টেপ
0,0,audio lingual acquisition,অডিও ভাষাগত অধিগ্রহণ
0,0,audio recording,অডিও রেকর্ডিং
0,0,audio cd,অডিও সিডি
0,0,audio system,অডিও সিস্টেম
0,0,audiovisual aid,অডিওভিস্যুয়াল এইড
0.375,0.375,tenuity,অণিমা
0,0,molecule,অণু
0,0,microbiologist,অণুজীব বিজ্ঞানী
0,0,microscope,অণুবীক্ষণ
0,0,microscopy,অণুবীক্ষণযন্ত্র ব্যবহার
0,0,spikelet,অণুমঁজরী
0,0,minuscule,অণুমাত্র
0,0,scrotum,অণ্ডকোষ
0,0.875,orchitis,অণ্ডকোষের প্রদাহ
0,0,oviparous,অণ্ডজ
0.375,0,incubation,অণ্ডস্ফুটন
0,0,incubator,অণ্ডস্ফুটন যন্ত্র
0,0,egg-shaped,অণ্ডাকৃতি
0,0,hence,অত: পর
0,0,consequently,অতএব
0,0,precipice,অতট
0,0.375,that much,অতটুকু
0.125,0.5,unready,অতত্পর
0.25,0,attentive,অতন্দ্র
0.25,0.25,abysmal,অতল
0,0,abysm,অতল গহ্বর
0.125,0.5,bear up,অতল থাকা
0.375,0,unsounded,অতলস্পর্শ
0,0,atlantic standard time,অতলান্তিক মানক সময়
0,0,improperly,অতি
0.5,0.125,near miss,অতি অল্পের জন্য ব্যর্থ লক্ষ্যসঁধান
0.125,0,overemotional,অতি আবেগী
0,0,porphyry,অতি কঠিন বিবিধবর্ণ শিলাবিশেষ
0.25,0,hidrosis,অতি কুত্সিত
0,0,miniscule,অতি ক্ষুদ্র
0,0,planetoid,অতি ক্ষুদ্র গ্রহ
0,0,speckle,অতি ক্ষুদ্র দাগ
0,0,brooklet,অতি ক্ষুদ্র নদী
0,0,mote,অতি ক্ষুদ্র বস্তু
0,0,necessitous,অতি দরিদ্র
0,0,at arm's length,অতি নিকটে
0,0,he-man,অতি পৌ
0.125,0,highbrow,অতি বিদ্বান
0,0,whacking,অতি বৃহৎ
0,0,high-strung,অতি ভাবপ্রবণ
0,0.5,ultraconservative,অতি রক্ষণশীল
0,0,bluestocking,অতি শিক্ষিতা নারী
0,0.375,stonewalling,অতি সতর্ক ব্যাটিং
0,0,child's play,অতি সহজ কাজ
0,0,leeway,অতি সামান্য বিচ্যুতি
0,0,voile,"অতি সূক্ষ্ম সুতী, পশমী বা রেশমী কাপড়"
0.25,0,tenuously,অতি সূক্ষ্মভাবে
0,0.875,overacting,অতি-অভিনয়
0,0.125,ham actor,অতি-অভিনয়কারী অভিনেতা
0,0,mammoth,অতিকায়
0,0,crossing over,অতিক্রম করা
0,0,transcend,অতিক্রম করিয়া যাত্তয়া
0,0,outgo,অতিক্রম করে যাওয়া
0,0,crossed eye,অতিক্রম চোখ
0,0,conquering,অতিক্রমকারী
0,0,crossed,অতিক্রান্ত
0,0,synergistic,অতিক্রিয়া
0,0,microcephalous,অতিক্ষুদ্রশির
0,0,guest,অতিথি
0,0,guestroom,অতিথি কক্ষ
0,0,guest worker,অতিথি কর্মী
0,0,guest night,অতিথি রাত
0,0,guesthouse,অতিথিশালা
0.5,0,hospitable,অতিথিসেবাপরায়ণ
0,0,hostess,অতিথিসেবিকা
0,0.375,supergiant,অতিদানব
0,0,quickie,অতিদ্রুতসম্পাদিত কাজ
0.5,0,melodramatic,অতিনাটকীয়
0,0,puritanism,অতিনৈতিকতা
0.25,0,overripe,অতিপক্ব
0,0,lapsed,অতিপন্ন
0,0.375,superconductivity,অতিপরিবাহিতা
